,brief,classes_name,header,news_url,pubtime
0,苹果和Google Play向开发商收取巨额抽成佣金的行为，俨然已经成了压在各大开发商身上的「两座大山」。 Netflix，苹果App Store中收入最高的应用之一，正在苹果面前「玩火」。 自6月以来，Netflix已经开始在多个国家和地区测试绕过iTunes的付费订阅方式。透过打开网页使用银行卡直接付费,人工智能,那些最赚钱的App，都不肯缴税给苹果和Google了,http://www.aihot.net/application/11652.html,2018-09-06 20:40:52
1,"著名分析师郭明Z在一份研究报告中指，Android 和 iPhone 两大手机阵营正以生物认证科技，为他们的手机产品带来差异化。Android 手机倾向使用屏幕指纹识别技术（FOD, Fingerprint on display），而 Apple 就会在 2019 年款的 iPhone 继续使用 Face ID 面容识别，而不会将 Touch ID 指纹识别整",人工智能,2019 IPhone继续力谷Face ID Android手机倾向屏幕指纹识别,http://www.aihot.net/iot/11651.html,2018-09-06 20:40:52
2,预计明年将会是 5G 网络开始推出的一年，各大手机品牌都在积极进行 5G 相关的测试，当中包括了中国品牌小米。日前小米的官方微博就宣布测试 5G 数据传输成功的消息，表示今次只是为明年正式推出 5G 手机奠下重要基础，小米表示 5G 的下载速度较 4G 快 10 倍，问网民会如何使用。 在该条有,人工智能,小米成功测试5G数据传输，5G新手机明年推出,http://www.aihot.net/iot/11650.html,2018-09-06 20:40:52
3,在 2013 年底开始起草的中华人民共和国电子商务法，将会在 2019 年 1 月 1 日正式实施，这项在 8 月底在人大常务委员会获得通过的法例，将会对网店作出规范，销售假货将需要承担刑责。现时在销售假货方面，只有个体户需要承担责任，日后将会有所改变。 新的电子商务法明年实施后，包括淘宝和京,人工智能,打击淘宝京东假货商人，中国新法例明年实施需负刑责,http://www.aihot.net/other/finance/11649.html,2018-09-06 20:40:52
4,在日前接受美国传媒 CNBC 访问时，三星 流动装置部门总裁高东真透露，集团将会就中阶手机的销售策略作出重大转变。该名 三星 高层表示，以往新功能会率先在高阶的 Galaxy S 和 Note 系列出现，未来创新的功能将会首先在中阶手机亮相，以吸引年轻的手机用户。 三星 稳占全球智能手机第一大,人工智能,三星CEO公开新策略， 新功能会在中阶手机首先推出,http://www.aihot.net/iot/11648.html,2018-09-06 20:40:52
5,大部分厂商在手机推出前，无论是厂商本身还是电讯商，都会进行一系列测试，这少不免会有工作人员需要携带手机在日常生活中实际测试。日前美国一名 Lyft 网约车司机就在车上捡到乘客遗留的手机，竟然是 Google 尚未发表的 Pixel 3 XL。 可能是 Pixel 3 XL 在过去数星期不时在网上流出，或者,人工智能,Google Pixel 3 XL流落街头，被遗留在网约车内,http://www.aihot.net/iot/11647.html,2018-09-06 20:40:52
6,在电竞手机市场中，雷蛇（Razer）可说知名度最高的品牌之一。早于 2017 年，他们就推出首部电竞手机 Razer Phone ，成为有关市场的开荒牛。如今，他们在最新的财务报表当中，表明他们正在开发第二代 Razer Phone ，以迎战一众后起之秀的的挑战。 据外国媒体 WCCFTech 报道，雷蛇在最新的财务报表中,人工智能,Razer Phone第二代开发中？雷蛇财务报表大披露,http://www.aihot.net/iot/11646.html,2018-09-06 20:40:52
7,"本周二，美国网购巨头 亚玛逊的股价升至 2,050.27 美元的历史新高，令这间公司正式成为第二间市值超过 1 兆美元的企业。据路透社消息， 亚玛逊旗下的网购及云端业务仍不断发展，推动股价上涨。 事实上， 苹果 于 8 月 2 日市值才超过 1 兆美元，而从挂牌上市起计算，一共历时近 38 年。而 亚玛",人工智能,亚玛逊成全球第二间市值破兆美元企业，紧追苹果,http://www.aihot.net/other/finance/11645.html,2018-09-06 20:40:52
8,Apple 发布会将于香港时间 9 月 13 日凌晨开始，全球果迷无不引颈而待。早前已有不少猜测，指 Apple 将会发表新 iPhone 、新 iPad 以及其他设备。如今， Instagram 上一个名为 Spectrumreport 的账户整合了网络上的多个传言，制作一系列 Apple 产品的推测配置。 Spectrumreport 是一个以,人工智能,Apple IPhone XS + IPhone XC + AirPods 2新规格传言，外国IG大整合,http://www.aihot.net/iot/11644.html,2018-09-06 20:40:52
9,Mercedes Benz 平治汽车今天刚于瑞典的斯德哥尔摩正式发布旗下第一款全电动车 EQ Concept(EQC)，新车采用了 SUV 规格设计，配备合共可输出 300kW 动力，最大 765Nm 扭力的前后双马达设计，计算机可以因应驾驶模式自动分配动力至四轮驱动系统，EQC 的电池容量为 80kWh (NEDC 标准) ，每行驶 10,人工智能,Benz EQC平治首部电动车，450km续航力+智能辅助,http://www.aihot.net/selfdriving/11643.html,2018-09-06 20:40:52
10,马来西亚航空 MH370 客机于 2014 年 3 月 8 日，从吉隆坡飞往北京途中偏离轨道，最后航机连同机上 239 人完全失去踪影。由多国组成的搜索队直到现时仍未成功找到客机残骸位置。直到最近，英国有专家指，他在 Google 地图上发现失踪逾 4 年的 MH370 客机残骸。 据英国《镜报》引述技术专,人工智能,MH370马航，客机残骸在柬埔寨Google地图有发现,http://www.aihot.net/application/11642.html,2018-09-06 20:40:52
11,现时的计算机处理器种模拟以往多，原本主力生产手机平板等流动装置处理器的 高通，其 Snapdragon 系列处理器亦开始应用于 Windows 10 笔电。去年公布使用 Snapdragon 835 处理器的笔电，今年陆续上市，早前 Lenovo 亦表示使用 Snapdragon 850 处理器的笔电会在年底前发售。 日前在跑分网,人工智能,Snapdragon 8180处理器现身，为高阶Windows 10笔电而设,http://www.aihot.net/iot/11641.html,2018-09-06 20:40:52
