,brief,header,pub_time,url
0,这也意味着，个人用户寄快递的时候，除了顺丰、通达系等专业快递企业之外，又多了一个选择。,“京东快递”小程序上线，加入C端市场竞争,20:16,http://www.tmtpost.com/nictation/3461019.html
1,9月6号消息，美团点评在香港举行IPO新闻发布会。,美团点评王慧文：不会加大投入网约车,20:11,http://www.tmtpost.com/nictation/3461009.html
2,他的工作重点将聚焦于京东大数据平台上的机器学习平台和深度学习平台研发、优化模型与算法中心及学术研究相关内容。,世界顶级科学家黄恒加入京东，任大数据首席科学家,19:58,http://www.tmtpost.com/nictation/3460993.html
3,奢侈品电商寺库网今日发布了截至6月30日的2018财年第二季度财报，总净营收为12.201亿元人民币（约合1.844亿美元）。,寺库网第二季度净利润620万美元，同比增长42.4%,19:54,http://www.tmtpost.com/nictation/3460984.html
4,国务院总理李克强9月6日主持召开国务院常务会议，确定落实新修订的个人所得税法的配套措施，为广大群众减负。,国务院：落实个税法配套措施，抓紧研究降低社保费率,19:44,http://www.tmtpost.com/nictation/3460963.html
5,美团点评将于本周五(9月7日)起公开招股，美团IPO定价区间已敲定，每股定价为60港币-72港币，定价区间为3575亿港币-4290亿港币（约455亿美元-547亿美元）,美团点评估值将超450亿美元，9月20日正式挂牌上市,19:42,http://www.tmtpost.com/nictation/3460961.html
6,9月6日消息，腾讯与永辉合力探索的到家服务新模式――永辉生活“卫星仓”在4日首次对外亮相，这表示双方的合作正式迈入了3.0阶段。,腾讯与永辉合作进入3.0阶段，“卫星仓”首度对外亮相,19:36,http://www.tmtpost.com/nictation/3460952.html
7,9月6日消息，Roblox是一家允许孩子们创建3D世界和游戏的平台。该公司于近期又获得了1.5亿美元的F轮融资。,儿童游戏平台Roblox获1.5亿美元F轮融资，估值超25亿美元,19:15,http://www.tmtpost.com/nictation/3460921.html
8,2016年至2017年收入增长超过了160%，消费者从2015年的2亿人增长到3.4亿人，2015年变现率3%，2018年为10.7%。,美团点评陈少晖：餐饮外卖占收入61.2%，酒旅占27.5%,18:31,http://www.tmtpost.com/nictation/3460839.html
9,自如CEO熊林在接受媒体采访时，就“甲醛房”等公众关注的热点话题，进行了回应和解读。他表示，为甲醛房道歉，会把检测报告放网上。（来源：第一财经）,自如CEO熊林：为甲醛房道歉，会把检测报告放网上,18:28,http://www.tmtpost.com/nictation/3460828.html
10,9月6日下午消息，腾讯港股今日收盘价为314.60港元，而昨日收盘价为324.80港元，今日开盘价为316.00港元。,腾讯今日市值又蒸发近千亿港元，已低于三万亿港元,18:15,http://www.tmtpost.com/nictation/3460805.html
11,刑事辩护律师表示，他之所以能顺利离开美国，表明案件可能并不像表面看起来那样。,刘强东在美辩护律师称，警方释放刘强东说明缺乏定罪证据,18:06,http://www.tmtpost.com/nictation/3460790.html
12,9月5日消息，据日本媒体报道，日本软银和雅虎各出资一半的二维码支付公司“PayPay”5日发布消息称，将与同行业的中国第三方支付平台“支付宝”开展业务合作。,软银和雅虎合资二维码支付公司将与支付宝合作,17:49,http://www.tmtpost.com/nictation/3460768.html
13,9月6日消息，据美媒报道，知情人士透露称苹果即将推出的新一代6.5英寸OLED版iPhone将命名为iPhone XS Max。,传新iPhone Plus被命名为iPhone XS Max,17:43,http://www.tmtpost.com/nictation/3460757.html
14,到2050年，若欧盟境内卡车放弃柴油发动机转而使用电动和氢动力，可以减少多达110亿桶的石油消耗，相当于两年多的进口量。,权威报告：电动卡车30年内可为欧洲节省110亿桶石油,17:04,http://www.tmtpost.com/nictation/3460636.html
15,商务部新闻发言人高峰6日在例行新闻发布会上表示，我们注意到有关舆论，关于“消费降级”的说法，我们认为有失偏颇。,商务部：“消费降级”的说法有失偏颇,16:54,http://www.tmtpost.com/nictation/3460544.html
16,2017年，中国存储芯片进口总额达886.17亿美元，同比增长38.8%，其中韩国产芯片占52.3%，规模达463亿美元。,去年中国存储芯片进口总额886亿美元，韩产芯片占过半,16:31,http://www.tmtpost.com/nictation/3460245.html
17,9月6日下午消息，对于今天中午作家六六发布微博称她在百度上搜索上海美国领事馆官网的地址，翻了多少个都是骗子广告的情况，百度回应称向六六及广大用户表示诚挚歉意。,百度回应作家六六吐槽：道歉并下线相关代办签证广告,16:26,http://www.tmtpost.com/nictation/3460237.html
18,截至2018年3月底，全国有区块链企业456家。,上海发布首个区块链技术与应用白皮书，将培育区块链产业基地,15:48,http://www.tmtpost.com/nictation/3460187.html
19,对于魅族董事长黄章对滑屏设计的批评，赵明则回应称，“这是吃不到葡萄说葡萄酸。”,荣耀总裁回应黄章批评滑屏：吃不到葡萄说葡萄酸,15:36,http://www.tmtpost.com/nictation/3460171.html
20,9月6日下午消息，携程在其官方微博发文，称裕辉韦优传媒有限公司、其主要负责人姜洛洛，以及该团伙任何人员均与携程不存在任何合作关系。,携程回应某团伙以携程之名网骗：无合作关系，已报警,15:34,http://www.tmtpost.com/nictation/3460166.html
21,马云表示，全球化的趋势不会改变，贸易不是武器而是解决方案，中非企业家应该一起寻找方案，让贸易更加普惠。,马云：中非企业家应一起寻找方案，让贸易更加普惠,15:10,http://www.tmtpost.com/nictation/3460133.html
22,9月6日消息，据外媒报道，韩国警方透露，三星电子的一座芯片工厂日前发生有毒气体泄露，导致一名工人死亡、两人受伤。,三星芯片工厂发生二氧化碳泄露：工人一死两伤，已非首次,15:08,http://www.tmtpost.com/nictation/3460130.html
23,近日，有媒体曝出，共享汽车品牌途歌已经从南京撤退，有南京的用户打开途歌App时发现，地图上一辆车都没有了。,共享汽车品牌途歌被曝全面撤离市场,15:06,http://www.tmtpost.com/nictation/3460126.html
24,作家六六在微博上@李彦宏称 ，你特么是做搜索引擎还是做骗子首领？,作家六六微博@李彦宏：你是做搜索引擎还是做骗子首领,15:03,http://www.tmtpost.com/nictation/3460121.html
25,9月6日消息，日前，第20届中国国际光电博览会（CIOE2018）在深圳会展中心拉开帷幕。,"中国电信李俊杰：5G发展的当务之急是""光纤到基站""",14:59,http://www.tmtpost.com/nictation/3460111.html
26,9月6日消息，近日快手APP获迪士尼独家授权IP形象，上线米奇AR表情，并联合发起“米奇摇摆，快手等你”挑战活动，开启米奇90周年纪念系列活动。,快手获迪士尼米奇独家形象授权，上线米奇AR表情,14:58,http://www.tmtpost.com/nictation/3460109.html
27,趣头条在路演PPT中还特别提及和澎湃新闻的合作，将建立深度合作机制、打通内部沟通渠道，在内容、品牌、流量、数据、技术、内控等方面战略合作。,趣头条路演PPT曝光：强调与澎湃合作，小米持股近1%,14:54,http://www.tmtpost.com/nictation/3460102.html
28,9月6日下午消息，近日有媒体报道称，滴滴2018年上半年亏损40.4亿元，滴滴方面对此向新浪科技表示不予置评。,传滴滴上半年亏损超40亿，官方不予置评,14:51,http://www.tmtpost.com/nictation/3460096.html
29,9月6日下午消息，根据国家企业信用信息公示系统资最新工商资料显示，娃哈哈于8月27日成立了浙江德清娃哈哈科技创新中心有限公司，注册资本为5000万元，宗庆后担任法人代表。,娃哈哈成立科技创新中心，经营范围包括新能源汽车,14:26,http://www.tmtpost.com/nictation/3460062.html
30,9月5日起，闲鱼图书回收接入蚂蚁森林。,闲鱼图书回收接入蚂蚁森林,14:23,http://www.tmtpost.com/nictation/3460058.html
31,近日，百度视频宣布完成1亿美金B轮融资，将进一步加大投入内容自制、内容投资、以及人工智能等前沿技术的研发。,百度视频完成1亿美金融资，推出DuerOS定制版,14:10,http://www.tmtpost.com/nictation/3460031.html
32,明尼苏达州亨内平郡检察官办公室发言人拉扎斯基9月5日表示，中国京东商城创始人兼首席执行官刘强东涉嫌强暴案是否控罪，最快将在本周内决定。,美国检察官：是否指控刘强东最快将在本周内决定,13:33,http://www.tmtpost.com/nictation/3459981.html
33,预计将于9月15日前后正式启动，并于9月之内完成最严格实名策略对于《王者荣耀》全部新用户的校验。,腾讯：《王者荣耀》将接入公安数据平台，校验用户是否未成年,12:56,http://www.tmtpost.com/nictation/3459936.html
34,9月6日，腾讯优图联合国际顶级期刊《科学》（Science）杂志共同举办了一场计算机视觉峰会。,腾讯汤道生：计算机视觉发展或将开启AI“寒武纪”,12:15,http://www.tmtpost.com/nictation/3459883.html
35,然而，根据一封由该公司首席执行官David Taylor向股东发送的电子邮件来看，Theranos最终将会被关闭。,600亿美元血检骗局终落幕，Theranos宣布正式倒闭,11:57,http://www.tmtpost.com/nictation/3459826.html
36,9月6日，菜鸟宣布打造了全球首个全品类“绿仓”，首次实现物流业循环箱全流程覆盖。,菜鸟发布2018回箱计划，并实现物流业循环箱全流程覆盖,11:54,http://www.tmtpost.com/nictation/3459821.html
37,腾讯高级副总裁汤道生表示：将优图实验室正式升级为腾讯计算机视觉研发中心，持续加码计算机视觉技术的研发投入，不设KPI。,腾讯与《科学》杂志合作，共享计算机视觉领域资源,11:45,http://www.tmtpost.com/nictation/3459806.html
38,华尔街日报9月5日的报道披露了刘强东被美国警方逮捕前后数日的细节，涉嫌强奸发生在饭局之后。,刘强东涉案细节：日料晚宴大喝红酒，案发饭局后,11:36,http://www.tmtpost.com/nictation/3459781.html
39,9月6日，生鲜电商每日优鲜宣布完成新一轮4.5亿美元融资。,每日优鲜完成新一轮4.5亿美元融资，高盛、腾讯等领投,11:27,http://www.tmtpost.com/nictation/3459752.html
40,甲骨文向美国财经媒体CNBC透露，公司负责产品开发的总裁托马斯・库里安（Thomas Kurian）不久将离开公司，具体离职时间待定。,甲骨文产品开发总裁将离职，曾为公司“二号人物”,11:12,http://www.tmtpost.com/nictation/3459731.html
41,微软和华为正在讨论，微软中国数据中心采用华为人工智能（AI）芯片技术的可能性。,华为与微软正尝试在人工智能芯片领域达成合作,11:09,http://www.tmtpost.com/nictation/3459690.html
42,9月6日上午消息，Facebook本周四表示，公司准备投资10多亿美元在新加坡建设数据中心，这是Facebook在亚洲建立的第一个数据中心。,Facebook首次准备在亚洲建数据中心，位于新加坡,10:51,http://www.tmtpost.com/nictation/3459686.html
43,SuperData拥有着1600万游戏玩家的行为调研数据。双方都未透露收购金额。,尼尔森收购SuperData，填补电子游戏数据上空白,10:35,http://www.tmtpost.com/nictation/3459660.html
44,本周三，美国参议院情报委员会（Senate Intelligence Committee）召开听证会，原本谷歌应该派人参加，但谷歌并没有派人。,谷歌拒派最高领导参加听证会，美参议院：深感失望,10:23,http://www.tmtpost.com/nictation/3459642.html
45,9月6日消息，新药研发企业上海诚益生物科技有限公司近日宣布完成亿元人民币A轮融资，由国药资本领投，幂方资本、泰福资本跟投。,新药研发企业诚益生物完成亿元人民币A轮融资，由国药资本领投,10:11,http://www.tmtpost.com/nictation/3459623.html
46,荣耀总裁赵明在接受采访时表示，荣耀是否入局电视业务仍在考虑之中。,荣耀赵明：在考虑是否入局电视，5G手机仍是营销概念,09:49,http://www.tmtpost.com/nictation/3459581.html
47,9月6日早间消息，喜马拉雅FM今日向新浪科技表示，近期网传的喜马拉雅FM融资文件数据大多不准确，公司近期没有上市计划。,喜马拉雅：网传融资资料数据大多不准确，无IPO计划,09:46,http://www.tmtpost.com/nictation/3459575.html
48,9月6日上午消息，据外媒报道，在进入英国曼彻斯特一年多之后，摩拜单车决定退出该城市，主要因为单车遭遇严重的损毁和盗窃。,摩拜退出曼彻斯特，因单车损毁盗窃太严重,09:42,http://www.tmtpost.com/nictation/3459566.html
49,钛媒体讯，9月6日消息，二手回收平台回收宝近日宣布完成C1轮战略融资，本轮投资方为阿里巴巴集团，融资额和估值暂未透露。,回收宝完成C1轮融资，投资方为阿里巴巴集团,09:21,http://www.tmtpost.com/nictation/3459518.html
50,宝马集团将携手汉莎货运航空公司与9月9日开启BMW Vision iNEXT环球之旅。,BMW Vision iNEXT 环球之旅将于9月9日开启,09:18,http://www.tmtpost.com/nictation/3459511.html
51,北京时间7:30过后，比特币快速跳水，迅速连续失守6800、6700、6600、6500、6400、6300美元六大关口，24小时跌超14%。,比特币跌破6300美元，24小时内暴跌14%,09:13,http://www.tmtpost.com/nictation/3459503.html
52,其中推出的一项安全功能名为“Ride Check”，可以利用智能手机内的GPS、加速计、陀螺仪和其他传感器来探测是否发生车祸。,Uber推出新安全功能，包括自动探测车祸和隐藏号码,09:06,http://www.tmtpost.com/nictation/3459490.html
53,美国两党议员都怀疑，两家社交媒体巨头能否在今年的中期选举之前彻底清理相关问题。,FB和Twitter高管出席国会听证，回应假信息等问题,08:55,http://www.tmtpost.com/nictation/3459476.html
54,9月6日消息，港媒称，金融服务机构华兴资本今日（9月6日）进行香港IPO聆讯，预计将于9月21日完成定价，9月28日正式在港交所上市，募资金额不超过31.4亿港元。,消息称华兴资本今日聆讯9月28日挂牌，估值26-34亿美元,08:51,http://www.tmtpost.com/nictation/3459470.html
55,今日，瑞幸咖啡将与腾讯签署战略合作协议。两者4月时就曾合作在深圳的腾讯总部大楼开设主题快闪店。,瑞幸咖啡将与腾讯签署战略合作协议,08:42,http://www.tmtpost.com/nictation/3459460.html
56,虽然交付的汽车不足2000辆，蔚来汽车却希望估值能达到64亿-85亿美元。,蔚来汽车寻求85亿美元估值，要投资者为潜力买单,08:37,http://www.tmtpost.com/nictation/3459451.html
57,9月6日消息，据CNBC报道，皮尤研究中心(Pew)的一项调查显示，Facebook这一年来遭遇的丑闻正促使年轻用户远离该平台。,皮尤报告：美国年轻用户正在远离Facebook平台,08:27,http://www.tmtpost.com/nictation/3459438.html
58,9月6日消息，从外媒报道获悉，SpaceX将在当地时间周六晚从佛罗里达州卡纳维拉尔角发射另外一颗商用卫星。,SpaceX将在本周六晚发射一颗商用卫星，原定于7月进行,08:20,http://www.tmtpost.com/nictation/3459427.html
59,9月6日消息，美银美林将AMD目标价从25美元大幅上调至35美元，较周二收盘涨幅空间25%，创华尔街最高目标价。,芯片巨头AMD获多家投行青睐，美银美林给出最高目标价,08:04,http://www.tmtpost.com/nictation/3459406.html
60,王兴是一个深度学习的机器，因为互联网要求不一样，要求你要迅速捕捉机会，还要执行力特别强，而王兴的学习能力和学习速度是非常快的。,今日资本徐新谈王兴：他是一台 “深度学习的机器”,08:01,http://www.tmtpost.com/nictation/3459401.html
61,9月6日消息，电商服务企业D1M（第一秒电商科技）近日宣布完成亿元A轮融资，本轮融资的战略投资方为K11创始人郑志刚。,第一秒电商科技完成亿元A轮融资,07:53,http://www.tmtpost.com/nictation/3459388.html
62,9月6日消息，知情人士称，中国社交电商平台云集微店已经聘请投行，计划在明年初赴美首次公开招股(IPO)。,电商平台云集微店拟明年初赴美IPO，最高估值100亿美元,07:47,http://www.tmtpost.com/nictation/3459381.html
63,北京时间9月6日凌晨，据路透社报道，Uber首席执行官Dara Khosrowshahi周三表示，Uber计划在明年进行IPO，并且没有出售其自动驾驶汽车研发部门的计划。,Uber CEO：计划2019年进行IPO，没有出售技术部门计划,07:39,http://www.tmtpost.com/nictation/3459372.html
64,乐视网发布公告称，9月6日上午开市起停牌。,连续5个涨停后，乐视网停牌核查,07:37,http://www.tmtpost.com/nictation/3459369.html
65,9月5日晚间，小狗电器互联网科技（北京）股份有限公司（以下简称“小狗电器”）发布《关于拟申请公司股票在全国中小企业股份转让系统终止挂牌》的提示性公告。,小狗电器拟申请终止在新三板挂牌,07:34,http://www.tmtpost.com/nictation/3459364.html
66,近两个交易日，京东累计下跌约16%，市值蒸发超72亿美元，刘强东身家缩水11.21亿美元，约合人民币76.5亿元。,京东周三收盘跌超10%，公司市值缩水至373亿美元,07:29,http://www.tmtpost.com/nictation/3459358.html
67,携程网第二季度归属于公司股东的净利润为人民币11亿元（约合1.68亿美元），相比之下去年同期归属于公司股东的净利润为人民币8.87亿元。,携程第二季度营收73亿元，同比增长13%,07:27,http://www.tmtpost.com/nictation/3459355.html
68,北京时间9月5日晚间消息，欧盟委员会本月晚些时候将提议立法，要求谷歌、Facebook、Twitter和其他一些互联网公司删除恐怖主义内容，并积极配合执法部门。,欧盟本月提议立法，要求谷歌1小时内删除恐怖主义内容,22:53,http://www.tmtpost.com/nictation/3458729.html
69,9月5日消息，近日，有用户遭遇在携程网上订完房间后，深夜导航被带到垃圾处理场，凌晨时分才更换到另一酒店的情况。,用户订房后被导航带到垃圾场，携程：路线有误，已下线该酒店,22:28,http://www.tmtpost.com/nictation/3458694.html
